booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,market_segment,deposit_type,customer_type,adr,is_repeated_guest,previous_cancellations,booking_changes,total_of_special_requests
SYN-00001,City Hotel,1,42,2025,January,1,1,1,0.0,0,,Direct,No Deposit,Transient,105.87,0,0,0,0
SYN-00002,City Hotel,0,55,2025,December,0,5,3,0.0,0,,Online TA,No Deposit,Transient-Party,178.38,0,1,0,1
SYN-00003,City Hotel,0,40,2024,June,0,3,1,0.0,0,Canada,Online TA,No Deposit,Transient,197.95,0,0,0,1
SYN-00004,Resort Hotel,1,123,2024,November,0,2,2,0.0,0,Germany,Corporate,Non Refund,Transient-Party,209.03,0,0,0,2
SYN-00005,Resort Hotel,0,146,2025,December,0,3,2,0.0,1,United Kingdom,Offline TA/TO,Non Refund,Transient,158.57,0,0,0,0
SYN-00006,City Hotel,0,122,2024,January,1,2,2,0.0,0,United Kingdom,Groups,Non Refund,Transient,110.8,0,0,2,2
SYN-00007,City Hotel,1,59,2024,April,1,3,3,2.0,0,,Direct,No Deposit,Group,189.26,0,0,0,1
SYN-00008,City Hotel,1,115,2024,March,3,6,1,0.0,0,Germany,Offline TA/TO,No Deposit,Transient,164.28,0,0,0,2
SYN-00009,Resort Hotel,0,97,2024,June,0,5,2,0.0,0,,Offline TA/TO,No Deposit,Transient,154.97,0,0,0,3
SYN-00010,Resort Hotel,1,115,2024,February,2,3,2,1.0,0,Canada,Direct,No Deposit,Transient-Party,136.44,0,0,0,0
SYN-00011,Resort Hotel,0,178,2025,February,0,1,1,0.0,0,,Offline TA/TO,No Deposit,Transient,192.81,0,0,1,0
SYN-00012,Resort Hotel,1,30,2025,December,2,1,3,0.0,0,France,Online TA,No Deposit,Transient-Party,194.26,0,0,0,0
SYN-00013,City Hotel,0,95,2024,July,0,2,1,0.0,0,France,Online TA,No Deposit,Transient,173.53,0,0,0,2
SYN-00014,City Hotel,1,80,2024,February,0,2,2,0.0,0,Mexico,Online TA,No Deposit,Group,132.96,0,0,0,1
SYN-00015,City Hotel,0,256,2024,May,1,4,1,0.0,0,Canada,Offline TA/TO,No Deposit,Transient,167.93,0,0,0,2
SYN-00016,Resort Hotel,1,89,2025,December,2,3,1,0.0,0,,Offline TA/TO,No Deposit,Transient,203.11,0,0,1,2
SYN-00017,Resort Hotel,0,117,2024,November,2,6,2,1.0,1,Mexico,Corporate,No Deposit,Transient-Party,162.91,0,0,0,2
SYN-00018,City Hotel,0,233,2024,May,0,5,2,1.0,0,Mexico,Corporate,No Deposit,Transient,96.66,0,0,2,0
SYN-00019,City Hotel,0,24,2025,September,1,2,2,0.0,0,United Kingdom,Online TA,No Deposit,Transient,132.14,0,0,0,1
SYN-00020,City Hotel,0,116,2025,June,0,4,3,0.0,0,Germany,Online TA,No Deposit,Transient,112.19,0,0,0,1
SYN-00021,Resort Hotel,0,68,2024,May,0,2,2,0.0,0,Mexico,Groups,No Deposit,Transient,181.42,0,0,0,0
SYN-00022,City Hotel,0,14,2024,March,2,3,2,1.0,0,USA,Online TA,No Deposit,Transient,77.39,0,0,1,2
SYN-00023,Resort Hotel,0,15,2025,December,2,7,2,0.0,0,Mexico,Online TA,Non Refund,Contract,116.33,0,0,0,2
SYN-00024,City Hotel,1,154,2025,April,0,2,2,0.0,0,Germany,Online TA,No Deposit,Transient,110.98,0,0,0,0
SYN-00025,City Hotel,0,156,2024,January,1,6,1,1.0,0,United Kingdom,Corporate,No Deposit,Contract,170.23,0,0,1,2
SYN-00026,Resort Hotel,1,136,2025,June,2,3,3,,0,Germany,Online TA,No Deposit,Transient,167.41,0,0,0,0
SYN-00027,City Hotel,0,148,2025,July,1,7,2,0.0,0,Canada,Online TA,No Deposit,Transient-Party,190.42,0,0,2,0
SYN-00028,Resort Hotel,1,127,2025,April,0,5,1,0.0,0,Mexico,Groups,No Deposit,Transient,157.79,0,0,2,0
SYN-00029,City Hotel,0,23,2024,November,3,5,2,0.0,0,Mexico,Online TA,No Deposit,Transient,211.22,0,0,1,2
SYN-00030,City Hotel,0,33,2025,March,2,2,2,0.0,0,,Offline TA/TO,No Deposit,Transient,194.53,0,0,0,0
SYN-00031,City Hotel,0,11,2025,July,1,5,2,0.0,0,Mexico,Online TA,No Deposit,Transient,171.73,1,0,1,1
SYN-00032,City Hotel,1,48,2024,January,1,2,2,0.0,0,United Kingdom,Groups,No Deposit,Transient,76.87,0,0,0,1
SYN-00033,City Hotel,0,35,2024,December,1,7,2,0.0,0,Canada,Offline TA/TO,No Deposit,Transient,198.5,0,0,0,0
SYN-00034,City Hotel,1,94,2024,February,3,2,2,0.0,0,United Kingdom,Offline TA/TO,No Deposit,Transient,145.61,0,0,0,1
SYN-00035,Resort Hotel,1,101,2025,September,1,5,2,0.0,0,Canada,Groups,No Deposit,Transient,168.54,0,0,2,0
SYN-00036,City Hotel,0,64,2024,March,0,5,2,0.0,0,USA,Direct,No Deposit,Transient,189.18,0,0,1,0
SYN-00037,City Hotel,1,19,2024,May,0,1,2,0.0,0,United Kingdom,Online TA,No Deposit,Contract,104.49,0,0,0,0
SYN-00038,Resort Hotel,1,45,2024,November,2,1,2,0.0,0,,Online TA,No Deposit,Transient,168.88,0,0,0,1
SYN-00039,Resort Hotel,0,116,2025,August,0,1,2,0.0,0,Germany,Offline TA/TO,Non Refund,Transient-Party,141.05,0,0,0,0
SYN-00040,City Hotel,0,89,2025,April,3,3,2,0.0,0,Germany,Corporate,No Deposit,Transient,128.87,0,0,3,2
SYN-00041,City Hotel,1,130,2025,March,0,1,2,0.0,0,USA,Online TA,No Deposit,Transient,142.03,0,0,1,0
SYN-00042,Resort Hotel,0,77,2025,October,2,7,2,0.0,0,Germany,Corporate,No Deposit,Transient-Party,125.88,0,0,0,2
SYN-00043,City Hotel,0,78,2024,November,2,2,2,0.0,0,Mexico,Online TA,No Deposit,Transient-Party,168.91,0,0,0,0
SYN-00044,Resort Hotel,0,87,2025,June,0,1,2,0.0,0,United Kingdom,Groups,No Deposit,Transient,187.11,0,0,0,0
SYN-00045,Resort Hotel,0,29,2025,June,0,5,2,1.0,0,United Kingdom,Online TA,No Deposit,Contract,262.3,0,0,0,0
SYN-00046,Resort Hotel,0,72,2025,August,1,2,4,1.0,0,,Corporate,No Deposit,Transient,197.8,0,0,0,2
SYN-00047,Resort Hotel,0,195,2025,October,0,1,2,0.0,0,USA,Corporate,No Deposit,Transient-Party,219.95,0,0,0,1
SYN-00048,City Hotel,1,53,2025,February,1,3,2,1.0,0,,Corporate,No Deposit,Contract,151.43,1,2,0,2
SYN-00049,City Hotel,0,220,2024,March,1,5,4,2.0,0,Canada,Direct,No Deposit,Transient,151.93,0,0,0,2
SYN-00050,City Hotel,0,17,2025,September,0,6,3,0.0,0,Mexico,Online TA,No Deposit,Transient,128.33,0,0,0,1
SYN-00051,City Hotel,0,196,2024,October,0,2,3,0.0,0,,Corporate,No Deposit,Group,118.84,0,0,0,0
SYN-00052,Resort Hotel,0,15,2024,April,2,3,4,1.0,0,Canada,Online TA,No Deposit,Transient,253.48,0,0,0,0
SYN-00053,City Hotel,0,7,2024,March,0,4,2,0.0,0,,Online TA,No Deposit,Transient,145.66,0,0,0,1
SYN-00054,City Hotel,0,67,2025,May,0,1,2,0.0,0,France,Direct,No Deposit,Transient,131.19,0,0,0,0
SYN-00055,Resort Hotel,1,213,2024,December,1,1,2,0.0,0,USA,Online TA,No Deposit,Transient,243.17,0,0,0,0
SYN-00056,Resort Hotel,1,145,2024,July,1,4,1,0.0,0,United Kingdom,Online TA,Non Refund,Contract,264.19,0,0,0,0
SYN-00057,City Hotel,1,114,2024,April,2,3,1,1.0,0,United Kingdom,Offline TA/TO,Non Refund,Group,199.49,0,0,0,0
SYN-00058,Resort Hotel,0,56,2025,May,2,7,1,0.0,0,France,Direct,No Deposit,Transient,124.2,0,0,0,0
SYN-00059,City Hotel,0,20,2024,March,0,3,2,0.0,0,Canada,Online TA,No Deposit,Transient,147.69,0,0,0,0
SYN-00060,Resort Hotel,0,48,2025,March,1,2,2,0.0,0,USA,Online TA,No Deposit,Transient,153.76,0,0,0,0
SYN-00061,City Hotel,1,131,2025,October,2,3,1,0.0,0,United Kingdom,Offline TA/TO,Non Refund,Transient,109.02,0,0,0,1
SYN-00062,City Hotel,0,85,2024,February,2,1,2,0.0,0,Mexico,Direct,No Deposit,Transient,154.95,0,0,0,3
SYN-00063,City Hotel,0,121,2025,October,3,2,2,,0,United Kingdom,Online TA,No Deposit,Transient,124.78,0,0,0,0
SYN-00064,Resort Hotel,1,73,2025,February,2,3,2,2.0,0,Mexico,Online TA,No Deposit,Transient,157.5,0,0,1,0
SYN-00065,City Hotel,0,130,2024,January,2,2,2,0.0,0,,Offline TA/TO,No Deposit,Transient,113.09,0,0,0,1
SYN-00066,City Hotel,0,20,2025,March,2,1,3,0.0,0,Mexico,Online TA,No Deposit,Transient,153.94,0,0,0,1
SYN-00067,City Hotel,0,81,2025,February,2,1,2,2.0,0,,Groups,No Deposit,Transient,79.81,0,0,0,1
SYN-00068,City Hotel,0,34,2024,March,0,2,2,2.0,0,,Online TA,Refundable,Transient,125.71,0,0,0,0
SYN-00069,City Hotel,0,121,2025,April,1,2,2,1.0,0,France,Direct,No Deposit,Transient,189.87,0,0,0,0
SYN-00070,Resort Hotel,0,71,2025,March,2,5,2,0.0,0,United Kingdom,Groups,No Deposit,Transient,130.96,0,0,0,0
SYN-00071,City Hotel,1,47,2025,November,1,1,2,0.0,0,USA,Direct,No Deposit,Transient-Party,127.37,0,0,0,0
SYN-00072,City Hotel,1,17,2025,October,1,4,2,0.0,0,United Kingdom,Corporate,No Deposit,Transient,166.25,0,0,0,1
SYN-00073,City Hotel,0,62,2024,September,0,5,2,,0,Canada,Online TA,No Deposit,Transient,68.25,0,0,0,0
SYN-00074,City Hotel,0,107,2025,December,0,1,1,1.0,0,,Direct,No Deposit,Contract,148.89,0,1,0,0
SYN-00075,Resort Hotel,0,46,2025,January,3,2,2,0.0,0,Canada,Direct,No Deposit,Transient,45.0,0,0,0,0
SYN-00076,Resort Hotel,0,115,2025,February,1,1,2,0.0,0,Mexico,Offline TA/TO,No Deposit,Group,207.34,0,1,2,0
SYN-00077,City Hotel,0,101,2024,December,1,2,1,0.0,0,Mexico,Online TA,No Deposit,Transient,131.12,1,0,1,1
SYN-00078,City Hotel,0,79,2024,January,1,7,2,0.0,0,Germany,Corporate,Non Refund,Transient,127.95,0,0,0,2
SYN-00079,City Hotel,0,131,2025,June,2,4,2,0.0,0,Germany,Direct,No Deposit,Transient,136.97,1,0,0,1
SYN-00080,City Hotel,0,18,2024,October,1,3,2,0.0,0,France,Direct,No Deposit,Transient,172.98,0,0,0,2
SYN-00081,Resort Hotel,0,80,2025,March,0,6,2,0.0,0,France,Corporate,Non Refund,Transient,146.86,0,0,0,3
SYN-00082,City Hotel,0,33,2024,March,0,5,3,0.0,0,USA,Direct,Non Refund,Transient-Party,187.6,0,0,0,1
SYN-00083,City Hotel,0,76,2025,May,0,2,2,0.0,0,United Kingdom,Online TA,No Deposit,Transient,154.88,0,0,1,2
SYN-00084,Resort Hotel,0,26,2025,April,2,2,1,0.0,0,France,Groups,Non Refund,Transient-Party,151.9,1,0,0,0
SYN-00085,City Hotel,1,21,2024,August,0,2,2,0.0,0,Germany,Online TA,Non Refund,Transient,165.46,0,0,0,0
SYN-00086,Resort Hotel,1,58,2024,October,2,3,2,0.0,0,Canada,Online TA,No Deposit,Transient,191.11,0,1,0,0
SYN-00087,City Hotel,0,14,2024,September,1,3,2,0.0,0,Mexico,Online TA,No Deposit,Transient,157.13,1,0,0,0
SYN-00088,City Hotel,1,53,2025,January,2,3,2,0.0,0,Germany,Online TA,No Deposit,Transient,93.7,1,0,0,0
SYN-00089,City Hotel,0,29,2025,October,0,2,1,2.0,0,Canada,Direct,No Deposit,Transient,154.15,0,0,1,1
SYN-00090,City Hotel,0,51,2025,August,2,4,3,0.0,0,United Kingdom,Online TA,No Deposit,Transient,176.65,0,0,0,0
SYN-00091,City Hotel,0,51,2025,December,0,4,3,1.0,0,Germany,Online TA,Refundable,Transient-Party,160.92,1,1,0,0
SYN-00092,City Hotel,0,91,2024,April,0,5,1,0.0,0,France,Corporate,No Deposit,Transient,100.84,0,0,0,0
